timestamp,radar_adc
0,2108
1,2087
2,1981
3,2149
4,2133
5,2179
6,2061
7,2119
8,2139
9,2253
10,2256
11,2209
12,2274
13,2163
14,2238
15,2213
16,2266
17,2228
18,2243
19,2248
20,2222
21,2354
22,2322
23,2377
24,2350
25,2304
26,2310
27,2448
28,2406
29,2303
30,2414
31,2371
32,2316
33,2345
34,2374
35,2417
36,2437
37,2393
38,2366
39,2518
40,2389
41,2395
42,2483
43,2542
44,2513
45,2516
46,2437
47,2380
48,2495
49,2403
50,2505
51,2435
52,2377
53,2489
54,2404
55,2526
56,2499
57,2356
58,2403
59,2369
60,2412
61,2515
62,2459
63,2400
64,2313
65,2334
66,2350
67,2403
68,2391
69,2353
70,2423
71,2262
72,2326
73,2269
74,2330
75,2268
76,2407
77,2283
78,2253
79,2242
80,2268
81,2292
82,2191
83,2231
84,2159
85,2166
86,2120
87,2124
88,2105
89,2110
90,2062
91,2055
92,2178
93,2180
94,2021
95,2006
96,2075
97,1968
98,2055
99,2013
100,1964
101,1970
102,2066
103,1935
104,2003
105,1928
106,1911
107,2018
108,2009
109,1939
110,1878
111,1894
112,1820
113,1828
114,1789
115,1800
116,1797
117,1895
118,1744
119,1845
120,1873
121,1695
122,1807
123,1773
124,1683
125,1792
126,1765
127,1692
128,1754
129,1772
130,1730
131,1713
132,1701
133,1627
134,1672
135,1647
136,1801
137,1627
138,1770
139,1711
140,1601
141,1770
142,1603
143,1618
144,1754
145,1714
146,1693
147,1713
148,1652
149,1687
150,1801
151,1672
152,1796
153,1695
154,1811
155,1658
156,1687
157,1728
158,1697
159,1743
160,1700
161,1794
162,1829
163,1768
164,1762
165,1707
166,1894
167,1816
168,1770
169,1920
170,1815
171,1808
172,1819
173,1862
174,1915
175,1981
176,1892
177,1990
178,2027
179,1946
180,2017
181,1991
182,2015
183,1976
184,1916
185,2029
186,2087
187,1949
188,2085
189,2157
190,2165
191,2143
192,2124
193,2162
194,2185
195,2129
196,2122
197,2101
198,2246
199,2256
200,2306
201,2317
202,2298
203,2223
204,2331
205,2245
206,2316
207,2224
208,2351
209,2424
210,2402
211,2333
212,2355
213,2369
214,2477
215,2385
216,2368
217,2444
218,2498
219,2485
220,2407
221,2475
222,2403
223,2439
224,2555
225,2531
226,2449
227,2409
228,2401
229,2515
230,2456
231,2432
232,2458
233,2538
234,2562
235,2545
236,2418
237,2432
238,2470
239,2491
240,2611
241,2480
242,2482
243,2444
244,2422
245,2540
246,2423
247,2431
248,2514
249,2408
250,2508
251,2560
252,2445
253,2386
254,2445
255,2429
256,2462
257,2538
258,2427
259,2534
260,2400
261,2470
262,2348
263,2464
264,2377
265,2388
266,2330
267,2295
268,2267
269,2367
270,2432
271,2401
272,2308
273,2361
274,2232
275,2265
276,2189
277,2213
278,2312
279,2246
280,2175
281,2107
282,2192
283,2150
284,2098
285,2068
286,2061
287,2150
288,2092
289,2194
290,2114
291,2102
292,2064
293,2012
294,2103
295,2003
296,2055
297,2061
298,2023
299,1879
300,1956
301,2047
302,2022
303,1879
304,1848
305,1982
306,1988
307,1836
308,1931
309,1924
310,1825
311,1902
312,1861
313,1877
314,1825
315,1782
316,1877
317,1875
318,1703
319,1826
320,1714
321,1785
322,1830
323,1840
324,1666
325,1813
326,1829
327,1700
328,1748
329,1650
330,1651
331,1789
332,1753
333,1671
334,1803
335,1775
336,1763
337,1660
338,1730
339,1697
340,1794
341,1813
342,1751
343,1794
344,1836
345,1726
346,1839
347,1797
348,1778
349,1771
350,1769
351,1766
352,1872
353,1733
354,1749
355,1818
356,1829
357,1813
358,1835
359,1910
360,1804
361,1780
362,1925
363,1823
364,1917
365,1991
366,1974
367,1994
368,1924
369,1973
370,2058
371,1902
372,2051
373,1950
374,2053
375,2033
376,1987
377,1993
378,2041
379,2088
380,2075
381,2179
382,2084
383,2149
384,2181
385,2138
386,2145
387,2195
388,2213
389,2292
390,2310
391,2224
392,2282
393,2229
394,2330
395,2319
396,2211
397,2237
398,2427
399,2297
400,2449
401,2454
402,2455
403,2424
404,2343
405,2401
406,2414
407,2388
408,2364
409,2485
410,2490
411,2472
412,2482
413,2417
414,2497
415,2417
416,2540
417,2550
418,2585
419,2534
420,2526
421,2434
422,2516
423,2589
424,2492
425,2579
426,2491
427,2599
428,2499
429,2468
430,2555
431,2626
432,2635
433,2513
434,2467
435,2601
436,2513
437,2628
438,2499
439,2527
440,2529
441,2455
442,2589
443,2613
444,2457
445,2543
446,2570
447,2403
448,2512
449,2450
450,2509
451,2508
452,2431
453,2455
454,2374
455,2383
456,2428
457,2365
458,2335
459,2306
460,2303
461,2283
462,2433
463,2254
464,2345
465,2368
466,2224
467,2212
468,2343
469,2239
470,2283
471,2162
472,2294
473,2184
474,2168
475,2163
476,2262
477,2170
478,2224
479,2152
480,2175
481,2060
482,2183
483,2083
484,2169
485,1999
486,1970
487,2119
488,2001
489,2088
490,2068
491,1890
492,1901
493,1891
494,1917
495,1969
496,1960
497,1995
498,1944
499,1854
500,1911
501,1857
502,1879
503,1761
504,1892
505,1793
506,1818
507,1883
508,1900
509,1811
510,1823
511,1825
512,1857
513,1773
514,1754
515,1701
516,1808
517,1856
518,1679
519,1668
520,1719
521,1680
522,1667
523,1774
524,1755
525,1846
526,1755
527,1687
528,1707
529,1841
530,1651
531,1815
532,1812
533,1721
534,1831
535,1709
536,1744
537,1764
538,1841
539,1687
540,1845
541,1728
542,1725
543,1881
544,1891
545,1869
546,1850
547,1812
548,1846
549,1841
550,1907
551,1854
552,1903
553,1833
554,1830
555,1983
556,1823
557,2008
558,1937
559,1918
560,1968
561,1986
562,1947
563,2093
564,2108
565,1928
566,1998
567,2145
568,2092
569,2013
570,2075
571,2179
572,2134
573,2066
574,2165
575,2127
576,2251
577,2105
578,2274
579,2153
580,2166
581,2255
582,2189
583,2286
584,2210
585,2364
586,2204
587,2391
588,2328
589,2346
590,2313
591,2381
592,2426
593,2278
594,2375
595,2337
596,2320
597,2514
598,2379
599,2385
600,2352
601,2540
602,2364
603,2390
604,2407
605,2398
606,2422
607,2588
608,2432
609,2487
610,2454
611,2433
612,2551
613,2467
614,2476
615,2538
616,2595
617,2503
618,2601
619,2471
620,2523
621,2586
622,2464
623,2493
624,2455
625,2496
626,2602
627,2598
628,2479
629,2434
630,2552
631,2470
632,2431
633,2434
634,2431
635,2427
636,2502
637,2550
638,2442
639,2381
640,2549
641,2540
642,2407
643,2539
644,2508
645,2466
646,2453
647,2380
648,2441
649,2420
650,2306
651,2296
652,2316
653,2344
654,2313
655,2405
656,2313
657,2308
658,2383
659,2211
660,2206
661,2333
662,2227
663,2174
664,2301
665,2248
666,2279
667,2174
668,2217
669,2115
670,2108
671,2156
672,2136
673,2129
674,2123
675,2080
676,2112
677,1977
678,2078
679,1983
680,2093
681,1920
682,1890
683,1881
684,1960
685,2015
686,1862
687,1923
688,1837
689,1938
690,1959
691,1956
692,1843
693,1761
694,1752
695,1828
696,1860
697,1748
698,1834
699,1750
700,1755
701,1833
702,1758
703,1714
704,1684
705,1695
706,1848
707,1821
708,1770
709,1710
710,1713
711,1715
712,1674
713,1662
714,1779
715,1684
716,1770
717,1716
718,1717
719,1802
720,1627
721,1651
722,1636
723,1779
724,1807
725,1655
726,1793
727,1769
728,1789
729,1707
730,1848
731,1807
732,1782
733,1704
734,1729
735,1834
736,1730
737,1861
738,1788
739,1896
740,1732
741,1786
742,1823
743,1874
744,1945
745,1966
746,1948
747,1850
748,1984
749,1980
750,2019
751,1983
752,2033
753,2041
754,2067
755,1902
756,1983
757,2082
758,1960
759,2020
760,2073
761,1976
762,2062
763,2135
764,2157
765,2036
766,2203
767,2196
768,2044
769,2153
770,2106
771,2258
772,2150
773,2119
774,2301
775,2169
776,2343
777,2201
778,2277
779,2368
780,2353
781,2219
782,2345
783,2306
784,2407
785,2371
786,2305
787,2441
788,2422
789,2444
790,2386
791,2406
792,2431
793,2379
794,2432
795,2347
796,2392
797,2388
798,2547
799,2428
800,2404
801,2540
802,2459
803,2499
804,2495
805,2536
806,2481
807,2424
808,2540
809,2534
810,2516
811,2414
812,2526
813,2473
814,2437
815,2460
816,2457
817,2437
818,2521
819,2452
820,2465
821,2445
822,2391
823,2467
824,2438
825,2505
826,2458
827,2510
828,2502
829,2441
830,2476
831,2453
832,2422
833,2405
834,2311
835,2328
836,2452
837,2288
838,2370
839,2443
840,2299
841,2289
842,2389
843,2260
844,2221
845,2250
846,2213
847,2260
848,2173
849,2263
850,2246
851,2130
852,2137
853,2251
854,2122
855,2198
856,2088
857,2185
858,2058
859,2102
860,2180
861,2114
862,2118
863,2065
864,1998
865,1972
866,2037
867,1969
868,2081
869,1998
870,1911
871,1879
872,2012
873,1853
874,1826
875,1841
876,1856
877,1861
878,1794
879,1840
880,1810
881,1863
882,1745
883,1890
884,1714
885,1813
886,1737
887,1878
888,1851
889,1766
890,1670
891,1735
892,1827
893,1645
894,1738
895,1690
896,1661
897,1719
898,1715
899,1687
900,1744
901,1784
902,1661
903,1763
904,1770
905,1656
906,1605
907,1669
908,1638
909,1591
910,1643
911,1649
912,1764
913,1619
914,1681
915,1621
916,1674
917,1669
918,1754
919,1701
920,1650
921,1665
922,1800
923,1680
924,1788
925,1669
926,1636
927,1722
928,1728
929,1800
930,1720
931,1669
932,1770
933,1706
934,1744
935,1764
936,1820
937,1877
938,1751
939,1870
940,1912
941,1809
942,1860
943,1914
944,1806
945,1964
946,1828
947,1924
948,1994
949,1931
950,2051
951,1896
952,1932
953,1974
954,2054
955,2021
956,2120
957,2067
958,2004
959,2076
960,2195
961,2103
962,2082
963,2098
964,2111
965,2228
966,2101
967,2182
968,2142
969,2227
970,2232
971,2209
972,2252
973,2155
974,2181
975,2231
976,2375
977,2358
978,2383
979,2256
980,2365
981,2309
982,2404
983,2395
984,2262
985,2397
986,2413
987,2428
988,2321
989,2379
990,2405
991,2457
992,2476
993,2517
994,2403
995,2505
996,2479
997,2426
998,2534
999,2519
1000,2417
1001,2501
1002,2440
1003,2472
1004,2352
1005,2352
1006,2444
1007,2360
1008,2443
1009,2424
1010,2342
1011,2533
1012,2447
1013,2399
1014,2345
1015,2461
1016,2419
1017,2439
1018,2390
1019,2493
1020,2374
1021,2361
1022,2292
1023,2292
1024,2444
1025,2402
1026,2323
1027,2304
1028,2381
1029,2382
1030,2332
1031,2216
1032,2287
1033,2281
1034,2327
1035,2256
1036,2310
1037,2138
1038,2312
1039,2114
1040,2152
1041,2172
1042,2079
1043,2193
1044,2228
1045,2123
1046,2207
1047,2132
1048,2190
1049,2154
1050,2083
1051,2020
1052,2062
