timestamp,radar_adc
0,2016
1,2211
2,2807
3,2632
4,2382
5,1991
6,1648
7,1647
8,1653
9,1494
10,1952
11,2387
12,2559
13,2649
14,2283
15,2200
16,1699
17,1521
18,1612
19,1536
20,1805
21,2062
22,2304
23,2292
24,2449
25,2318
26,2083
27,1923
28,1585
29,1810
30,2016
31,1983
32,2076
33,2465
34,2304
35,2223
36,2059
37,2048
38,1826
39,1842
40,1858
41,1975
42,1908
43,2045
44,2098
45,2007
46,2156
47,2133
48,1931
49,1958
50,2109
51,2189
52,1915
53,1887
54,1779
55,1893
56,1964
57,2046
58,2315
59,2101
60,2275
61,2001
62,2086
63,1813
64,1848
65,1673
66,1822
67,2243
68,2216
69,2395
70,2202
71,2323
72,2110
73,1866
74,1662
75,1886
76,1771
77,2141
78,2387
79,2549
80,2563
81,2344
82,2066
83,1800
84,1538
85,1889
86,1801
87,1899
88,2410
89,2330
90,2176
91,2394
92,2048
93,1823
94,1750
95,1752
96,1982
97,2116
98,2170
99,2416
100,2106
101,2176
102,2145
103,2067
104,1862
105,1835
106,1772
107,2087
108,2263
109,2342
110,2123
111,2154
112,2164
113,1893
114,2030
115,1864
116,1863
117,2141
118,2284
119,2153
120,2306
121,1990
122,2037
123,1994
124,1964
125,1838
126,2151
127,2127
128,2090
129,2021
130,2245
131,2127
132,1953
133,1846
134,2109
135,1988
136,1908
137,2183
138,2193
139,2064
140,2222
141,1919
142,1759
143,1829
144,1944
145,1946
146,2243
147,1958
148,2350
149,2081
150,2090
151,1956
152,2117
153,1844
154,1737
155,1961
156,2069
157,1974
158,2293
159,2285
160,2081
161,2154
162,2202
163,2171
164,2053
165,1886
166,1797
167,1866
168,1890
169,2324
170,2246
171,2376
172,2034
173,1949
174,2097
175,1775
176,1831
177,1914
178,1768
179,2265
180,2291
181,2091
182,2412
183,2081
184,2257
185,2020
186,1974
187,1666
188,1701
189,2038
190,2003
191,2393
192,2333
193,2442
194,2009
195,2111
196,1771
197,1647
198,1810
199,2072
200,2080
201,2089
202,2363
203,2383
204,2438
205,2274
206,2011
207,1661
208,1685
209,2006
210,1921
211,2056
212,2189
213,2248
214,2178
215,2157
216,2112
217,2051
218,1729
219,1992
220,1739
221,1976
222,2186
223,2030
224,2318
225,2138
226,2330
227,2235
228,1883
229,1780
230,1981
231,1752
232,1836
233,2060
234,1957
235,1969
236,2183
237,2282
238,2254
239,2106
240,1980
241,1957
242,1801
243,1664
244,1886
245,2022
246,2429
247,2217
248,2269
249,2286
250,1949
251,1883
252,1782
253,1595
254,1599
255,1881
256,2288
257,2611
258,2678
259,2293
260,2357
261,2107
262,1504
263,1612
264,1766
265,1648
266,2007
267,2341
268,2634
269,2317
270,2229
271,1890
272,1774
273,1692
274,1438
275,1930
276,1950
277,2530
278,2674
279,2523
280,2406
281,2017
282,1789
283,1613
284,1530
285,1874
286,1972
287,2453
288,2343
289,2305
290,2129
291,2020
292,1685
293,1747
294,1871
295,1725
296,1994
297,2322
298,2124
299,2131
300,2282
301,2189
302,1996
303,1839
304,1910
305,2003
306,2252
307,2121
308,2336
309,2311
310,1976
311,1988
312,2095
313,1942
314,2184
315,1976
316,2219
317,2366
318,2139
319,2186
320,2083
321,1683
322,2048
323,1778
324,2231
325,2057
326,2344
327,2123
328,2176
329,1929
330,1734
331,1609
332,1744
333,1987
334,2278
335,2484
336,2208
337,2398
338,2239
339,1976
340,1663
341,1928
342,1805
343,1962
344,2043
345,2221
346,2549
347,2384
348,1996
349,1762
350,1662
351,1884
352,1690
353,2172
354,2064
355,2333
356,2148
357,2129
358,2146
359,1913
360,1663
361,1879
362,1851
363,1925
364,2061
365,2251
366,2065
367,2056
368,2084
369,1689
370,2003
371,2037
372,1949
373,2326
374,2300
375,2097
376,2121
377,2090
378,1964
379,1803
380,1785
381,2150
382,2035
383,2173
384,2160
385,2261
386,2068
387,2018
388,1682
389,1819
390,1948
391,1979
392,2282
393,2540
394,2392
395,2338
396,1974
397,1649
398,1573
399,1717
400,1842
401,1911
402,2255
403,2595
404,2639
405,2329
406,2051
407,1912
408,1665
409,1708
410,1523
411,1874
412,2389
413,2242
414,2579
415,2221
416,2246
417,2070
418,1607
419,1640
420,1621
421,1963
422,2131
423,2371
424,2491
425,2227
426,2118
427,2104
428,1813
429,1812
430,1596
431,2043
432,2079
433,2290
434,2400
435,2140
436,2134
437,2221
438,2075
439,1747
440,1961
441,1829
442,1804
443,1889
444,2221
